episode,timestep,reward
13,3000,-104.3196
21,6000,-101.7039
25,9000,-87.607
40,12000,-106.3337
48,15000,-99.613
59,18000,-102.8265
63,21000,-83.2168
74,24000,-103.2057
77,27000,-80.1417
81,30000,-86.0654
86,33000,-87.9366
90,36000,-86.9324
93,39000,-80.4167
95,42000,-64.9686
97,45000,-63.2048
99,48000,-66.8671
102,51000,-93.3987
106,54000,-88.6146
111,57000,-90.1839
114,60000,-77.5768
119,63000,-91.5739
122,66000,-75.0459
128,69000,-91.539
131,72000,-82.3411
134,75000,-76.4901
136,78000,-60.8857
141,81000,-104.5054
146,84000,-89.0779
148,87000,-59.9539
151,90000,-76.0618
153,93000,-63.34
156,96000,-75.9034
158,99000,-60.5206
160,102000,-63.7506
162,105000,-58.3732
166,108000,-87.8703
168,111000,-59.5378
171,114000,-71.027
173,117000,-60.9846
175,120000,-61.6134
178,123000,-83.0931
181,126000,-79.0348
183,129000,-61.3666
185,132000,-55.696
187,135000,-52.4694
189,138000,-66.4861
191,141000,-54.5897
193,144000,-57.1794
195,147000,-59.7171
197,150000,-54.3031
199,153000,-51.6861
201,156000,-59.9317
204,159000,-72.7988
206,162000,-59.2539
209,165000,-71.783
211,168000,-62.8326
213,171000,-56.6725
216,174000,-77.7186
218,177000,-55.3001
221,180000,-72.3384
223,183000,-48.4885
225,186000,-57.8234
227,189000,-47.7084
229,192000,-50.2417
231,195000,-49.2994
233,198000,-49.3622
235,201000,-42.2735
237,204000,-85.9317
239,207000,-40.317
241,210000,-48.4561
243,213000,-48.6096
245,216000,-47.9078
247,219000,-42.8039
249,222000,-48.4138
251,225000,-34.8316
253,228000,-35.5941
255,231000,-26.6031
257,234000,-36.2192
259,237000,-29.2378
261,240000,-8.3102
263,243000,-21.5703
265,246000,-19.673
267,249000,-15.7878
270,252000,-78.9416
272,255000,-6.5654
274,258000,5.6371
276,261000,-2.5441
278,264000,10.8035
280,267000,-6.1749
282,270000,1.3615
284,273000,11.3558
289,276000,-65.599
291,279000,10.2057
293,282000,13.6535
295,285000,-30.4965
297,288000,19.2694
300,291000,-18.7975
302,294000,7.2589
304,297000,10.8215
308,300000,-76.1019
311,303000,-29.389
313,306000,-38.1585
315,309000,11.5731
317,312000,27.8713
319,315000,25.2569
321,318000,25.1177
323,321000,25.2907
325,324000,21.6726
327,327000,40.9697
329,330000,38.9692
332,333000,-11.5742
335,336000,-11.5367
337,339000,46.8477
339,342000,48.4816
341,345000,44.5002
343,348000,45.7368
345,351000,55.6659
347,354000,56.2511
349,357000,51.2458
351,360000,51.9716
353,363000,72.4646
356,366000,12.9631
358,369000,58.1636
360,372000,52.6394
362,375000,59.2657
364,378000,55.3393
366,381000,71.0787
368,384000,79.3876
370,387000,53.4226
372,390000,66.9769
375,393000,-29.5567
378,396000,-13.3626
382,399000,-41.97
384,402000,85.2281
387,405000,-16.5788
389,408000,66.3528
392,411000,22.1785
394,414000,76.0961
396,417000,75.56
398,420000,78.3102
400,423000,91.7419
402,426000,32.7717
404,429000,82.8379
406,432000,75.8075
409,435000,14.3273
411,438000,87.7907
413,441000,82.712
415,444000,77.3219
417,447000,83.6313
420,450000,40.91
422,453000,86.2713
424,456000,82.0065
427,459000,23.9569
429,462000,11.0757
431,465000,93.5799
433,468000,30.2036
436,471000,31.263
439,474000,45.1064
441,477000,86.726
443,480000,10.8012
445,483000,98.0391
447,486000,103.035
449,489000,115.7871
451,492000,115.8889
454,495000,33.7402
456,498000,129.1044
459,501000,42.2153
462,504000,20.4426
465,507000,-7.6597
467,510000,139.1944
470,513000,21.8778
472,516000,142.2142
474,519000,123.2036
476,522000,80.2569
478,525000,66.6064
480,528000,150.4756
483,531000,67.02
485,534000,129.8065
487,537000,132.7169
490,540000,54.4923
492,543000,141.1117
494,546000,136.1758
496,549000,149.9482
498,552000,141.0352
500,555000,61.707
503,558000,86.5457
506,561000,46.4505
508,564000,138.1699
510,567000,135.1585
512,570000,63.9285
515,573000,99.8493
517,576000,143.6268
519,579000,151.3462
521,582000,152.0863
523,585000,135.9631
525,588000,146.1992
527,591000,152.2273
529,594000,143.1525
531,597000,82.6957
533,600000,107.5095
535,603000,59.765
538,606000,100.1011
542,609000,-6.5869
544,612000,155.4926
546,615000,136.8443
548,618000,72.5167
551,621000,22.848
553,624000,152.2072
555,627000,134.7404
557,630000,146.1722
559,633000,158.6058
561,636000,147.9031
564,639000,72.7204
566,642000,71.3253
569,645000,25.3274
571,648000,85.6929
574,651000,108.7331
576,654000,40.704
578,657000,153.4713
580,660000,146.4526
582,663000,159.8401
584,666000,146.2958
587,669000,100.2386
589,672000,87.9301
591,675000,148.1306
593,678000,158.5412
595,681000,156.7432
597,684000,82.6145
599,687000,154.4443
601,690000,147.9249
603,693000,156.4746
607,696000,56.2455
609,699000,45.7049
613,702000,40.886
615,705000,161.985
617,708000,163.3212
619,711000,138.1758
621,714000,159.7542
623,717000,160.2708
625,720000,155.2336
627,723000,159.1578
630,726000,89.1162
632,729000,157.2139
634,732000,43.3124
636,735000,156.647
638,738000,162.7618
640,741000,106.7562
644,744000,47.1071
646,747000,157.1718
648,750000,92.4408
650,753000,176.7828
653,756000,102.8428
655,759000,170.405
657,762000,97.8032
660,765000,79.0381
662,768000,98.3567
664,771000,116.4072
666,774000,181.0119
668,777000,178.9254
670,780000,175.9233
672,783000,184.0853
675,786000,132.7007
677,789000,45.0134
679,792000,179.4447
684,795000,15.9928
686,798000,168.3142
688,801000,184.3135
690,804000,166.8206
692,807000,182.2679
694,810000,173.2415
696,813000,179.98
699,816000,-24.2712
702,819000,72.944
704,822000,172.359
706,825000,182.6044
708,828000,171.4463
710,831000,173.952
712,834000,73.4388
714,837000,164.5097
716,840000,164.5566
718,843000,170.7531
721,846000,99.8431
723,849000,179.6486
726,852000,112.2009
728,855000,165.2949
730,858000,176.5588
732,861000,86.1217
735,864000,26.126
737,867000,176.4923
740,870000,120.7601
742,873000,177.4153
744,876000,157.6011
746,879000,170.9865
748,882000,100.6165
750,885000,173.7117
752,888000,23.7359
755,891000,132.4605
758,894000,5.8045
760,897000,175.4032
762,900000,177.5255
764,903000,176.9616
766,906000,171.3685
768,909000,161.8514
770,912000,100.1328
772,915000,174.3192
774,918000,178.6691
776,921000,164.8104
778,924000,177.7275
780,927000,112.5956
783,930000,99.3995
785,933000,170.5552
788,936000,-4.1457
790,939000,166.6867
792,942000,187.5642
794,945000,167.0194
796,948000,176.3808
798,951000,176.8918
800,954000,164.2056
802,957000,174.9326
804,960000,176.9362
808,963000,33.6598
810,966000,169.5888
812,969000,173.4118
815,972000,82.8066
817,975000,174.7479
819,978000,172.9729
821,981000,165.4093
823,984000,182.8543
825,987000,71.8156
827,990000,171.5309
830,993000,98.7557
832,996000,95.2525
834,999000,174.8507
836,1002000,179.8219
839,1005000,50.0515
841,1008000,193.8532
844,1011000,99.0042
846,1014000,195.9062
848,1017000,189.2826
850,1020000,192.1147
853,1023000,121.5341
855,1026000,179.8306
857,1029000,182.0002
859,1032000,176.854
861,1035000,189.8403
863,1038000,190.7275
865,1041000,183.1082
867,1044000,182.556
869,1047000,192.8126
871,1050000,96.752
873,1053000,116.0264
878,1056000,17.1337
881,1059000,111.6683
883,1062000,120.2639
885,1065000,188.5693
887,1068000,29.9042
889,1071000,188.8224
891,1074000,199.2207
893,1077000,200.0517
896,1080000,101.527
901,1083000,25.9875
903,1086000,110.9795
905,1089000,105.1169
908,1092000,123.7457
910,1095000,183.9296
912,1098000,191.2689
914,1101000,189.5842
916,1104000,96.2782
919,1107000,101.7539
921,1110000,92.2236
924,1113000,109.1534
926,1116000,190.4911
930,1119000,61.8722
932,1122000,181.9533
934,1125000,83.1787
937,1128000,80.6122
939,1131000,91.3168
941,1134000,196.4374
943,1137000,197.48
946,1140000,128.3262
948,1143000,194.2252
950,1146000,69.4419
953,1149000,98.632
955,1152000,194.8997
958,1155000,131.9953
960,1158000,202.473
962,1161000,114.8462
964,1164000,188.9625
967,1167000,104.9788
969,1170000,63.4604
972,1173000,91.5559
974,1176000,187.7876
976,1179000,183.2973
979,1182000,114.1875
981,1185000,191.0414
983,1188000,184.0263
986,1191000,62.9217
988,1194000,186.5938
991,1197000,33.7574
994,1200000,46.6796
996,1203000,188.9871
998,1206000,182.0666
1000,1209000,191.863
1002,1212000,122.3094
1005,1215000,154.292
1007,1218000,201.2377
1009,1221000,188.304
1011,1224000,196.4835
1014,1227000,12.8074
1017,1230000,73.0685
1020,1233000,-0.1579
1022,1236000,201.3076
1026,1239000,38.5535
1028,1242000,109.2776
1030,1245000,194.6642
1032,1248000,107.3605
1035,1251000,101.3832
1037,1254000,102.5789
1039,1257000,192.5471
1041,1260000,208.5195
1043,1263000,206.7739
1046,1266000,166.5517
1048,1269000,52.8819
1050,1272000,206.6877
1052,1275000,209.0016
1055,1278000,156.4606
1057,1281000,212.0315
1060,1284000,29.099
1062,1287000,213.2341
1064,1290000,210.0141
1066,1293000,203.2211
1068,1296000,147.8413
1070,1299000,198.4734
1072,1302000,126.8294
1074,1305000,202.7704
1076,1308000,210.3233
1078,1311000,209.2307
1080,1314000,194.6497
1082,1317000,205.5739
1084,1320000,195.3363
1086,1323000,206.2184
1088,1326000,205.8108
1090,1329000,203.3916
1092,1332000,207.4014
1095,1335000,135.0811
1097,1338000,200.9479
1099,1341000,178.207
1101,1344000,108.5475
1104,1347000,141.3252
1107,1350000,114.9763
1109,1353000,191.1325
1111,1356000,102.9224
1113,1359000,198.2266
1115,1362000,198.2349
1118,1365000,77.6024
1121,1368000,8.7379
1123,1371000,201.6167
1126,1374000,161.0477
1128,1377000,147.5379
1130,1380000,209.2427
1132,1383000,208.7758
1134,1386000,1.5347
1136,1389000,199.3913
1139,1392000,151.9857
1142,1395000,8.105
1144,1398000,198.5674
1146,1401000,103.1507
1150,1404000,47.9373
1152,1407000,104.0661
1155,1410000,158.1945
1157,1413000,196.7297
1159,1416000,127.255
1161,1419000,206.7044
1163,1422000,194.1176
1166,1425000,99.0991
1168,1428000,158.0066
1171,1431000,54.9701
1173,1434000,140.6206
1175,1437000,91.0377
1177,1440000,124.4996
1179,1443000,167.7337
1182,1446000,81.9001
1184,1449000,198.9865
1186,1452000,201.0731
1188,1455000,191.0555
1190,1458000,131.364
1192,1461000,112.7537
1196,1464000,67.9362
1199,1467000,47.6073
1201,1470000,207.8431
1203,1473000,199.2146
1206,1476000,56.7306
1208,1479000,122.6805
1211,1482000,119.1366
1213,1485000,188.7084
1216,1488000,131.474
1218,1491000,140.7858
1220,1494000,88.874
1223,1497000,68.3181
1225,1500000,123.248
1228,1503000,91.3015
1231,1506000,80.1057
1233,1509000,183.9106
1235,1512000,208.7683
1238,1515000,125.8864
1241,1518000,110.9521
1243,1521000,97.0343
1246,1524000,120.9405
1248,1527000,215.5197
1250,1530000,206.0308
1252,1533000,29.2058
1254,1536000,215.4964
1256,1539000,135.3522
1258,1542000,207.4984
1260,1545000,217.7916
1262,1548000,214.869
1265,1551000,105.7759
1267,1554000,122.2337
1269,1557000,221.8691
1272,1560000,143.897
1275,1563000,130.5369
1277,1566000,208.0609
1279,1569000,217.2147
1281,1572000,213.9338
1283,1575000,213.1299
1285,1578000,207.2198
1287,1581000,204.4228
1289,1584000,211.8043
1291,1587000,82.5807
1293,1590000,232.315
1296,1593000,135.9348
1298,1596000,218.7369
1300,1599000,221.6928
1302,1602000,211.3239
1304,1605000,220.5378
1306,1608000,206.8876
1308,1611000,220.9077
1310,1614000,207.2909
1312,1617000,207.5125
1314,1620000,216.1318
1317,1623000,86.74
1319,1626000,219.0193
1321,1629000,151.1721
1323,1632000,210.1976
1325,1635000,167.2085
1327,1638000,218.7573
1329,1641000,208.7103
1331,1644000,217.1782
1333,1647000,169.2165
1335,1650000,216.9128
1337,1653000,228.5217
1339,1656000,217.9891
1342,1659000,144.2264
1344,1662000,87.1068
1346,1665000,210.4602
1348,1668000,219.5607
1350,1671000,223.0043
1353,1674000,144.3577
1355,1677000,216.6243
1357,1680000,220.9957
1359,1683000,167.9718
1361,1686000,230.4031
1363,1689000,219.4965
1365,1692000,229.9197
1367,1695000,197.784
1369,1698000,224.752
1371,1701000,219.6981
1373,1704000,225.1253
1375,1707000,223.0375
